mainid	name	city	country	publication	functions	adafter	adbefore	ahafter	ahbefore
EA.CA.2286	Mosque of Ahmad ibn Tulun	Cairo	Egypt	EMA.1940.2.fig.248	mosque, architectural drawing	876	879	263	265
EA.CA.2287	Mosque of Ahmad ibn Tulun	Cairo	Egypt	EMA.1940.2.fig.249	mosque, architectural drawing	876	879	263	265
EA.CA.2288	Mosque of Ahmad ibn Tulun	Cairo	Egypt	EMA.1940.2.fig.255	mosque, architectural drawing	876	879	263	265
EA.CA.2289	Mosque of Ahmad ibn Tulun	Cairo	Egypt	EMA.1940.2.fig.257	mosque, architectural drawing	876	879	263	265
EA.CA.2290	Mosque of Ahmad ibn Tulun	Cairo	Egypt	EMA.1940.2.pl.112a	mosque	876	879	263	265
EA.CA.2291	Mosque of Ahmad ibn Tulun	Cairo	Egypt	EMA.1940.2.pl.112b	mosque	876	879	263	265
EA.CA.2292	Mosque of Ahmad ibn Tulun	Cairo	Egypt	EMA.1940.2.pl.96	mosque	876	879	263	265
EA.CA.2293	Great Mosque of Cordova	Cordova	Spain	EMA.1940.2.fig.145	architectural drawing, mosque	785	965	169	355
EA.CA.2294	Qusair `Amra	Qusair `Amra	Jordan	EMA.1969.1.ii.fig.451	architectural drawing, bath-house	725	750	107	133
EA.CA.2295	Qusair `Amra	Qusair `Amra	Jordan	EMA.1969.1.ii.fig.450	architectural drawing, bath-house	725	750	107	133
EA.CA.2296	Qusair `Amra	Qusair `Amra	Jordan	EMA.1969.1.ii.fig.452	architectural drawing, bath-house	725	750	107	133
EA.CA.2307	Hammam al-Sarakh	Hammam al-Sarakh	Jordan	EMA.1969.1.ii.fig.554	architectural drawing, bath-house	725	730	107	112
EA.CA.2308	Qusair al-Hallabat	Qusair al-Hallabat	Jordan	EMA.1969.1.ii.fig.555	palace, mosque, architectural drawing	725	730	107	112
EA.CA.2310	Qusair al-Hallabat	Qusair al-Hallabat	Jordan	EMA.1969.1.ii.fig.556	palace, mosque, architectural drawing	725	730	107	112
EA.CA.2311	Qusair al-Hallabat	Qusair al-Hallabat	Jordan	EMA.3.1.2.fig.559	palace, mosque, architectural drawing	725	730	107	112
EA.CA.2312	Qusair al-Hallabat	Qusair al-Hallabat	Jordan	EMA.1969.1.ii.fig.558	palace, mosque, architectural drawing	725	730	107	112
EA.CA.2313	Khan al-Zabib	Khan al-Zabib	Jordan	EMA.1969.1.ii.fig.560	khan	712	737	93	119
EA.CA.2314	Mshatta	Mshatta	Jordan	EMA.1969.1.ii.fig.630	palace, architectural drawing	725	750	107	133
