find_id,find_material
28891,POTTERY
28911,POTTERY
28913,CBM
28914,IRON
28916,STONE
28920,CHARCOAL
28921,POTTERY
28923,CBM
28924,IRON
28925,GLASS
28928,BONE
28951,POTTERY
28953,CBM
28954,IRON
28958,Animal Bone
28960,CHARCOAL
28961,POTTERY
28964,IRON
28966,STONE
28968,Animal Bone
28981,POTTERY
28988,Animal Bone
30151,POTTERY
30154,IRON
30158,Animal Bone
30160,CHARCOAL
30211,POTTERY
30214,IRON
30215,GLASS
30218,Animal Bone
30331,POTTERY
30333,CBM
30334,IRON
30335,GLASS
30338,Animal Bone
30340,CHARCOAL
31011,POTTERY
31014,IRON
31018,Animal Bone
31020,CHARCOAL
31031,POTTERY
31034,IRON
31035,GLASS
31037,STONE
31038,Animal Bone
31051,POTTERY
31081,POTTERY
31091,POTTERY
31098,Animal Bone
31111,POTTERY
31113,CBM
31121,POTTERY
31128,Animal Bone
31130,CHARCOAL
31131,POTTERY
31134,IRON
31138,Animal Bone
31191,POTTERY
31193,CBM
31194,IRON
31198,Animal Bone
31200,CHARCOAL
31221,POTTERY
31224,IRON
31226,STONE
31231,POTTERY
31234,IRON
31331,POTTERY
31334,IRON
31336,STONE
31338,BONE
31341,POTTERY
31344,IRON
31345,GLASS
31346,STONE
31350,CHARCOAL
31479,OTHER
31491,POTTERY
31541,POTTERY
31544,IRON
31548,BONE
2012,Iron
2013,Copper Alloy
2022,Pottery
2025,Stone
2039,Pottery
2040,Iron
2042,Stone
2079,Copper Alloy
2080,Iron
2123,Pottery
2130,Iron
2136,Glass
2155,Copper Alloy
2166,Iron
2169,Pottery
2170,Stone
2173,Bone
2179,Pottery
2190,Pottery
2193,Bone
2194,Pottery
2197,Copper Alloy
2198,Copper Alloy
2202,Pottery
2204,Pottery
2205,Copper Alloy
2206,Pottery
2207,Pottery
2211,Iron
2212,Pottery
2213,Pottery
2214,Copper Alloy
2217,Iron
2219,Pottery
2220,Stone
2225,Copper Alloy
2228,Stone
2233,Stone
2235,Iron
2237,Iron
2249,Copper Alloy
2257,Copper Alloy
2258,Stone
2261,Pottery
2263,Copper Alloy
2264,Iron
2269,Copper Alloy
2271,Pottery
2277,Copper Alloy
2284,Glass
2289,Iron Copper Alloy
2304,Copper Alloy
2313,Glass
2315,Copper Alloy
2316,Copper Alloy
2317,Copper Alloy
2319,Pottery
2324,Copper Alloy
2325,Iron
2331,Copper Alloy
2332,Iron
2343,Iron
2344,Copper Alloy
2348,Pottery
2353,Copper Alloy
2355,Copper Alloy
2368,Iron
2371,Mortar
2377,Pottery
2378,Iron
2380,Copper Alloy
2382,Iron
2389,Copper Alloy
2391,Bone
2393,Copper Alloy
2402,Iron
2421,Lead
2422,Copper Alloy
2426,Copper Alloy
2437,Pottery
2438,Iron
2447,Iron
2452,Iron
2453,Iron
2454,Iron
2455,Copper Alloy
2466,Plaster
2486,Copper Alloy
2501,Copper Alloy
2487,Copper Alloy
2484,Copper Alloy
2508,Iron
2477,Copper Alloy
2490,Iron
2535,Copper Alloy
2547,Copper Alloy
2548,Lead
2549,Pottery
2552,Iron
2553,Iron
2554,Iron
2556,Pottery
2560,Iron
2563,Iron
2568,Iron
2573,Lead
2574,Copper Alloy
2575,Copper Alloy
2576,Copper Alloy
2579,Iron
2587,Pottery
2589,Copper Alloy
2595,Pottery
2598,Bone
2613,Copper Alloy
2614,Copper Alloy
2615,Copper Alloy
2617,Pottery
2634,Iron
2635,Frit
2639,Copper Alloy
2642,Copper Alloy
2650,Iron
2655,Iron
2658,Pottery
2659,Iron
2660,Iron
2686,Pottery
2689,Iron
2691,Pottery
2692,Iron
2713,Bone?
2721,Lead
2727,Copper Alloy
2740,Copper Alloy
2745,Copper Alloy
2747,Copper Alloy
2752,Copper Alloy
2754,Pottery
2756,Copper Alloy
2760,Copper Alloy
2763,Copper Alloy Bone
2766,Iron
2767,Bone
2772,Copper Alloy
2773,Pottery
2776,Copper Alloy
2783,Copper Alloy
2785,Iron
2786,Copper Alloy
2793,Copper Alloy
2795,Iron
2796,Frit
2801,Iron
2805,Bone
2806,Iron
2815,Copper Alloy
2824,Copper Alloy
2825,Pottery
2828,Copper Alloy
2829,Glass
2831,Iron
2832,Iron
2846,Copper Alloy
2856,Copper Alloy
2859,Iron
2860,Copper Alloy
2866,Copper Alloy
2877,Copper Alloy
2882,Iron
2883,Pottery
827,Copper Alloy
30321,POTTERY
30323,CBM
30324,IRON
30325,GLASS
30326,STONE
30328,Animal Bone
30329,OTHER
30330,CHARCOAL
30941,POTTERY
30944,IRON
30951,POTTERY
30953,CBM
30594,IRON
30955,GLASS
30956,STONE
30958,Animal Bone
30971,POTTERY
30973,CBM
30974,IRON
30975,GLASS
30976,STONE
30978,Animal Bone
30980,OTHER
31241,POTTERY
31243,OTHER
31244,IRON
31333,CBM
31340,CHARCOAL
31368,Animal Bone
31371,POTTERY
31391,POTTERY
31394,IRON
31398,Animal Bone
31493,CBM
31531,POTTERY
31533,CBM
31534,IRON
31538,BONE
31540,CHARCOAL
31551,POTTERY
31554,IRON
31591,POTTERY
31594,IRON
31641,POTTERY
31644,IRON
31645,GLASS
31647,STONE
31648,Animal Bone
31691,POTTERY
31694,IRON
31695,GLASS
31698,Animal Bone
31741,POTTERY
31744,IRON
31745,GLASS
31747,STONE
31748,Animal Bone
31781,POTTERY
31783,MORTAR
31784,IRON
31786,STONE
31791,POTTERY
31793,CBM
31794,IRON
31800,CHARCOAL
31831,POTTERY
31838,Animal Bone
31839,Opus Signinum
31841,POTTERY
31844,IRON
31848,Animal Bone
31861,POTTERY
31868,Animal Bone
31881,POTTERY
31888,Animal Bone
31981,POTTERY
31984,IRON
31985,GLASS
31986,STONE
31988,Animal Bone
32011,POTTERY
32014,IRON
32015,GLASS
32051,POTTERY
32053,CBM
32055,STONE
32071,POTTERY
32073,CBM
32074,IRON
32078,Animal Bone
32080,CHARCOAL
32091,POTTERY
32093,CBM
32094,IRON
32096,STONE
32097,STONE
32098,Animal Bone
32321,POTTERY
32324,IRON
32325,GLASS
32326,STONE
32328,Animal Bone
32329,OTHER
32511,POTTERY
32513,CBM
32514,IRON
32515,GLASS
32516,STONE
32518,Animal Bone
33001,POTTERY
33471,POTTERY
33474,IRON
33478,Animal Bone
34011,POTTERY
34051,POTTERY
34054,IRON
34058,Animal Bone
34081,POTTERY
34088,POTTERY
34461,POTTERY
34464,IRON
34468,Animal Bone
34651,Pottery
34658,Animal Bone
34731,POTTERY
34738,Animal Bone
34791,Pottery
34794,IRON
34798,AB
34799,Daub
34891,Pottery
34894,IRON
34895,GLASS
34898,AB
34901,PO
34904,IRON
34908,AB
34941,PO
34944,IRON
34945,GLASS
34946,STONE
34948,AB
34949,DA
34950,CHARCOAL
34991,PO
34993,CBM
34998,AB
35101,Pottery
35104,IRON
35108,AB
35151,POTTERY
35157,STONE
35711,POTTERY
35715,Glass
35720,CHARCOAL
35851,POTTERY
35861,PO
35864,IRON
35868,AB
35951,POTTERY
35959,OTHER
36011,POTTERY
36013,CBM
36014,IRON
36018,AB
36171,POTTERY
36179,Plaster
2924,Glass
2928,Iron
2942,Copper Alloy
2949,Iron
2952,Pot
2953,Copper Alloy
2957,Iron
2959,Pot
2961,Copper Alloy
2926,Copper Alloy
2958,Copper Alloy
2964,Copper Alloy
2965,Copper Alloy
2967,Plaster
2974,Pot
2975,Copper Alloy
2977,Iron
2980,Iron
2983,Lead
2984,Iron
2985,Copper Alloy
2995,Stone
2998,Iron
2999,Copper Alloy
3001,Glass
3002,Copper Alloy
3005,Pot
3006,Iron
3008,Iron
3011,Copper Alloy
3017,Copper Alloy
3018,Frit
3021,Iron
3022,Copper Alloy
3024,Copper Alloy
3025,Copper Alloy
3029,Iron
3031,Iron
3037,Lead
3040,Copper Alloy
3042,Iron
3044,Copper Alloy
3048,Copper Alloy
3049,Copper Alloy
3050,Iron
3055,Gold
3068,Bone
3069,Shale
3075,Copper Alloy
3076,Copper Alloy
3077,Iron
3079,Pottery
3082,Copper Alloy
3083,Copper Alloy
3084,Copper Alloy
3085,Shale
3086,Copper Alloy
3094,Glass
3095,Pottery
3096,Pottery
3098,Copper Alloy
3110,Copper Alloy
3112,Copper Alloy
3113,Iron
3131,Marble
3133,Copper Alloy
3140,Iron
3142,Iron
3145,Iron
3154,Iron
3155,Copper Alloy
3156,Pottery
3164,Samian
3165,Bone
3167,Pottery
3169,Copper Alloy
3170,Pottery
3173,Iron
3175,Samian
3177,Pottery
3179,Copper Alloy
3219,Stone
3220,Stone
3229,Stone
3230,Glass
3253,Stone
3256,Copper Alloy
3260,Ivory
3264,Copper Alloy
36501,POTTERY
36505,GLASS
36508,Animal Bone
36511,POTTERY
5154,IRON
5188,Animal Bone
5241,POTTERY
5245,GLASS
5248,BONE
6504,IRON
6525,GLASS
6578,Animal Bone
6581,POTTERY
6588,Animal Bone
6601,POTTERY
6604,IRON
6608,Animal Bone
6621,POTTERY
6631,POTTERY
6634,IRON
6638,Animal Bone
6641,POTTERY
6643,CERAMIC
6644,IRON
6648,Animal Bone
10831,POTTERY
10834,IRON
10838,Animal Bone
12151,POTTERY
12154,IRON
12461,POTTERY
12464,IRON
12468,Animal Bone
12469,Opus Signinum
13461,POTTERY
13464,IRON
13468,Animal Bone
15041,POTTERY
15044,IRON
