"ID","REC_TYPE","FNO","D_DATA","D_DIAM","D_LENGTH","D_WIDTH","D_THICK","D_HEIGHT","D_WEIGHT","D_AREA","D_VOLUME"
736,"BF",15224,"Primary",0,0,0,0,0,1,0,0
737,"BF",15228,"2003",0,0,0,0,0,50,0,0
738,"BF",15234,"Primary",0,0,0,0,0,40,0,0
739,"BF",15238,"2003",0,0,0,0,0,160,0,0
740,"BF",15838,"2003",0,0,0,0,0,40,0,0
741,"BF",16244,"Primary",0,0,0,0,0,25,0,0
742,"BF",16254,"Primary",0,0,0,0,0,10,0,0
743,"BF",16258,"2003",0,0,0,0,0,20,0,0
744,"bf",25494,"primary",0,0,0,0,0,250,0,0
745,"bf",25498,"2003",0,0,0,0,0,1250,0,0
746,"BF",26784,"Primary",0,0,0,0,0,180,0,0
747,"BF",26788,"2003",0,0,0,0,0,500,0,0
748,"BF",27214,"Primary",0,0,0,0,0,40,0,0
749,"BF",27218,"2003",0,0,0,0,0,10,0,0
750,"BF",27608,"2003",0,0,0,0,0,10,0,0
751,"BF",27634,"2003",0,0,0,0,0,10,0,0
752,"BF",27828,"2003",0,0,0,0,0,60,0,0
753,"BF",28134,"2003",0,0,0,0,0,400,0,0
754,"BF",28138,"2003",0,0,0,0,0,60,0,0
755,"BF",28694,"Primary",0,0,0,0,0,5,0,0
756,"BF",28698,"Primary",0,0,0,0,0,150,0,0
757,"BF",28754,"Primary",0,0,0,0,0,10,0,0
758,"BF",28758,"2003",0,0,0,0,0,150,0,0
759,"BF",28794,"Primary",0,0,0,0,0,15,0,0
760,"BF",28904,"Primary",0,0,0,0,0,10,0,0
761,"BF",28908,"2003",0,0,0,0,0,40,0,0
762,"BF",28924,"primary",0,0,0,0,0,150,0,0
763,"BF",28928,"Primary",0,0,0,0,0,80,0,0
764,"BF",28964,"Nails 2003",0,0,0,0,0,550,0,0
765,"BF",28968,"2003",0,0,0,0,0,3625,0,0
766,"BF",31018,"2003",0,0,0,0,0,10,0,0
767,"BF",31594,"2003",0,0,0,0,0,3,0,0
768,"BF",31614,"2003",0,0,0,0,0,2,0,0
769,"BF",31644,"Primary",0,0,0,0,0,2,0,0
770,"BF",31784,"Primary",0,0,0,0,0,5,0,0
771,"BF",31788,"2003",0,0,0,0,0,50,0,0
772,"BF",31804,"Primary",0,0,0,0,0,40,0,0
773,"BF",31808,"2003",0,0,0,0,0,125,0,0
774,"BF",31844,"Primary",0,0,0,0,0,2,0,0
775,"BF",36514,"Primary",0,0,0,0,0,275,0,0
776,"BF",36518,"2003",0,0,0,0,0,530,0,0
777,"BF",36524,"Primary",0,0,0,0,0,815,0,0
778,"BF",36528,"2003",0,0,0,0,0,1850,0,0
779,"BF",36534,"2003",0,0,0,0,0,20,0,0
780,"BF",36538,"2003",0,0,0,0,0,500,0,0
781,"BF",36674,"Primary",0,0,0,0,0,45,0,0
782,"BF",36678,"2003",0,0,0,0,0,100,0,0
783,"BF",36694,"Primary",0,0,0,0,0,20,0,0
784,"BF",36704,"2003",0,0,0,0,0,415,0,0
785,"BF",36708,"2003",0,0,0,0,0,2200,0,0
786,"BF",36748,"2003",0,0,0,0,0,50,0,0
787,"BF",36794,"Primary",0,0,0,0,0,560,0,0
788,"BF",36798,"2003",0,0,0,0,0,450,0,0
789,"BF",36864,"Primary",0,0,0,0,0,55,0,0
790,"BF",36868,"2003",0,0,0,0,0,200,0,0
791,"BF",36884,"Primary",0,0,0,0,0,160,0,0
792,"BF",36888,"2003",0,0,0,0,0,200,0,0
793,"BF",36914,"Primary",0,0,0,0,0,10,0,0
794,"BF",36918,"2003",0,0,0,0,0,10,0,0
795,"BF",36308,"2005",0,0,0,0,0,5,0,0
796,"BF",36308,"2003",0,0,0,0,0,20,0,0
797,"BF",37438,"2003",0,0,0,0,0,200,0,0
798,"SF",3129,"Primary",30,0,0,0,0,0,0,0
799,"SF",2926,"Primary",27,0,0,1,0,0,0,0
800,"SF",2963,"Primary",25,0,0,2,0,0,0,0
801,"SF",3110,"Primary",28,0,0,2,0,0,0,0
802,"SF",2990,"Primary",26,0,0,2,0,0,0,0
803,"BF",38854,"Primary",0,0,0,0,0,40,0,0
804,"BF",38864,"Primary",0,0,0,0,0,30,0,0
805,"BF",38868,"2003",0,0,0,0,0,20,0,0
806,"BF",39528,"2003",0,0,0,0,0,10,0,0
807,"BF",39544,"2003",0,0,0,0,0,10,0,0
808,"BF",39548,"2003",0,0,0,0,0,100,0,0
809,"BF",39944,"Primary",0,0,0,0,0,10,0,0
810,"BF",40524,"Primary",0,0,0,0,0,20,0,0
811,"BF",40528,"2003",0,0,0,0,0,50,0,0
812,"BF",40598,"2003",0,0,0,0,0,10,0,0
813,"BF",40604,"Primary",0,0,0,0,0,45,0,0
814,"BF",40608,"2003",0,0,0,0,0,300,0,0
815,"BF",40614,"Primary",0,0,0,0,0,40,0,0
816,"BF",40634,"Primary",0,0,0,0,0,10,0,0
817,"BF",40644,"Primary",0,0,0,0,0,2,0,0
818,"BF",40674,"Primary",0,0,0,0,0,15,0,0
819,"BF",40678,"2003",0,0,0,0,0,20,0,0
820,"BF",40768,"2003",0,0,0,0,0,10,0,0
821,"BF",40774,"Primary",0,0,0,0,0,10,0,0
822,"BF",40784,"Primary",0,0,0,0,0,15,0,0
823,"BF",40788,"2003",0,0,0,0,0,10,0,0
824,"BF",40798,"2003",0,0,0,0,0,40,0,0
825,"BF",40838,"2003",0,0,0,0,0,5,0,0
826,"BF",40844,"Primary",0,0,0,0,0,10,0,0
827,"BF",40848,"2003",0,0,0,0,0,50,0,0
828,"BF",40888,"2003",0,0,0,0,0,150,0,0
829,"BF",40924,"Primary",0,0,0,0,0,10,0,0
830,"BF",40928,"2003",0,0,0,0,0,10,0,0
831,"BF",40938,"2003",0,0,0,0,0,20,0,0
832,"BF",40944,"2003",0,0,0,0,0,25,0,0
